14 1 1 56658.00 I  0.038615 0.000024  0.318885 0.000027  I-0.0970448 0.0000031  1.1608 0.0026  I     0.000    0.042     0.152    0.052  0.038635  0.318873 -0.0970509    -0.004     0.121  
14 1 2 56659.00 I  0.038342 0.000024  0.319631 0.000029  I-0.0982403 0.0000040  1.2380 0.0026  I    -0.020    0.042     0.154    0.052  0.038392  0.319560 -0.0982417    -0.041     0.151  
14 1 3 56660.00 I  0.037751 0.000024  0.320358 0.000029  I-0.0995155 0.0000042  1.2994 0.0041  I    -0.017    0.042     0.140    0.052  0.037782  0.320363 -0.0995045    -0.072     0.170  
14 1 4 56661.00 I  0.037115 0.000020  0.320810 0.000020  I-0.1008400 0.0000071  1.3635 0.0036  I     0.003    0.076     0.152    0.130  0.037125  0.320762 -0.1008534    -0.052     0.183  
14 1 5 56662.00 I  0.036645 0.000027  0.321237 0.000024  I-0.1022420 0.0000058  1.4261 0.0046  I     0.023    0.119     0.182    0.056  0.036686  0.321192 -0.1022594    -0.010     0.185  
14 1 6 56663.00 I  0.036082 0.000028  0.321916 0.000023  I-0.1036600 0.0000058  1.3920 0.0043  I     0.045    0.119     0.198    0.056  0.036107  0.321881 -0.1036670     0.036     0.175  
14 1 7 56664.00 I  0.035216 0.000025  0.322845 0.000021  I-0.1049955 0.0000064  1.2664 0.0040  I     0.069    0.119     0.202    0.031  0.035279  0.322794 -0.1049941     0.079     0.158  
14 1 8 56665.00 I  0.034312 0.000026  0.323918 0.000027  I-0.1061775 0.0000054  1.0947 0.0042  I     0.081    0.041     0.210    0.057  0.034294  0.323912 -0.1061719     0.080     0.156  
14 1 9 56666.00 I  0.033868 0.000027  0.325041 0.000028  I-0.1071961 0.0000054  0.9564 0.0039  I     0.070    0.041     0.223    0.057  0.033907  0.324957 -0.1072008     0.068     0.160  
14 110 56667.00 I  0.033515 0.000027  0.326460 0.000029  I-0.1080968 0.0000055  0.8376 0.0040  I     0.063    0.041     0.214    0.057  0.033546  0.326433 -0.1080952     0.054     0.162  
14 111 56668.00 I  0.032758 0.000022  0.327857 0.000027  I-0.1088551 0.0000058  0.6702 0.0038  I     0.070    0.053     0.186    0.074  0.032776  0.327841 -0.1088510     0.056     0.176  
14 112 56669.00 I  0.031583 0.000025  0.329007 0.000029  I-0.1094620 0.0000051  0.5772 0.0039  I     0.081    0.054     0.163    0.068  0.031632  0.328925 -0.1094762     0.063     0.192  
14 113 56670.00 I  0.030291 0.000024  0.329963 0.000029  I-0.1100337 0.0000051  0.5570 0.0039  I     0.092    0.054     0.150    0.068  0.030272  0.329986 -0.1100333     0.069     0.201  
14 114 56671.00 I  0.029374 0.000022  0.330757 0.000025  I-0.1105824 0.0000058  0.5562 0.0032  I     0.109    0.056     0.142    0.051  0.029421  0.330656 -0.1105752     0.073     0.202  
14 115 56672.00 I  0.028508 0.000026  0.331731 0.000027  I-0.1111646 0.0000038  0.6110 0.0034  I     0.133    0.119     0.138    0.041  0.028546  0.331742 -0.1111690     0.141     0.125  
14 116 56673.00 I  0.027439 0.000026  0.332694 0.000026  I-0.1118209 0.0000036  0.7152 0.0027  I     0.163    0.041     0.135    0.039  0.027457  0.332608 -0.1118389     0.174     0.110  
14 117 56674.00 I  0.026560 0.000024  0.333764 0.000026  I-0.1126018 0.0000039  0.8398 0.0027  I     0.177    0.041     0.118    0.039  0.026580  0.333728 -0.1126043     0.205     0.093  
14 118 56675.00 I  0.025812 0.000020  0.335116 0.000024  I-0.1135042 0.0000039  0.9756 0.0029  I     0.174    0.119     0.102    0.043  0.025855  0.335069 -0.1134933     0.204     0.083  
14 119 56676.00 I  0.024768 0.000021  0.336387 0.000021  I-0.1145555 0.0000044  1.1189 0.0028  I     0.155    0.119     0.097    0.043  0.024806  0.336353 -0.1145454     0.187     0.075  
14 120 56677.00 I  0.023814 0.000031  0.337429 0.000021  I-0.1157232 0.0000040  1.2058 0.0033  I     0.132    0.060     0.108    0.041  0.023812  0.337368 -0.1157127     0.150     0.068  
14 121 56678.00 I  0.023684 0.000027  0.338274 0.000012  I-0.1169559 0.0000050  1.2590 0.0026  I     0.123    0.092     0.124    0.044  0.023712  0.338243 -0.1169561     0.126     0.059  
14 122 56679.00 I  0.024027 0.000028  0.339072 0.000026  I-0.1182355 0.0000034  1.2950 0.0030  I     0.140    0.065     0.121    0.029  0.024082  0.338997 -0.1182377     0.103     0.048  
14 123 56680.00 I  0.024318 0.000028  0.339952 0.000027  I-0.1195218 0.0000032  1.2587 0.0024  I     0.194    0.065     0.095    0.029  0.024329  0.339927 -0.1195135     0.189     0.046  
14 124 56681.00 I  0.024446 0.000028  0.340760 0.000028  I-0.1207292 0.0000034  1.1514 0.0024  I     0.267    0.064     0.067    0.027  0.024480  0.340703 -0.1207234     0.300     0.046  
14 125 56682.00 I  0.024313 0.000027  0.341362 0.000028  I-0.1218386 0.0000035  1.0861 0.0026  I     0.317    0.047     0.048    0.024  0.024339  0.341338 -0.1218334     0.327     0.027  
14 126 56683.00 I  0.024128 0.000014  0.341874 0.000027  I-0.1228974 0.0000039  1.0089 0.0026  I     0.312    0.045     0.019    0.016  0.024143  0.341833 -0.1228609     0.315     0.002  
14 127 56684.00 I  0.024193 0.000021  0.342652 0.000028  I-0.1238565 0.0000039  0.9320 0.0034  I     0.271    0.055    -0.020    0.047  0.024219  0.342592 -0.1238269     0.270    -0.011  
14 128 56685.00 I  0.024366 0.000019  0.343954 0.000019  I-0.1248005 0.0000055  0.9724 0.0037  I     0.216    0.065    -0.029    0.066  0.024393  0.343907 -0.1247856     0.229    -0.031  
14 129 56686.00 I  0.024474 0.000023  0.345532 0.000022  I-0.1258222 0.0000062  1.0755 0.0044  I     0.159    0.087     0.000    0.058  0.024500  0.345495 -0.1258104     0.176    -0.050  
14 130 56687.00 I  0.024499 0.000023  0.346930 0.000021  I-0.1269680 0.0000068  1.2281 0.0048  I     0.135    0.078     0.011    0.072  0.024526  0.346902 -0.1269629     0.208    -0.044  
14 131 56688.00 I  0.024198 0.000023  0.347981 0.000022  I-0.1282702 0.0000072  1.3562 0.0050  I     0.137    0.078     0.025    0.072  0.024216  0.347929 -0.1282635     0.257    -0.025  
14 2 1 56689.00 I  0.023733 0.000023  0.348812 0.000024  I-0.1296517 0.0000073  1.3983 0.0048  I     0.123    0.078     0.036    0.072  0.023746  0.348777 -0.1296531     0.223    -0.007  
14 2 2 56690.00 I  0.023515 0.000020  0.349504 0.000023  I-0.1310584 0.0000063  1.4152 0.0050  I     0.092    0.067     0.067    0.058  0.023546  0.349472 -0.1310704     0.157     0.016  
14 2 3 56691.00 I  0.023565 0.000021  0.350142 0.000024  I-0.1324564 0.0000067  1.3549 0.0045  I     0.063    0.073     0.098    0.065  0.023587  0.350099 -0.1324575     0.093     0.041  
14 2 4 56692.00 I  0.023683 0.000016  0.351065 0.000019  I-0.1337440 0.0000064  1.2220 0.0039  I     0.055    0.054     0.119    0.046  0.023731  0.351001 -0.1337438     0.034     0.069  
14 2 5 56693.00 I  0.023879 0.000020  0.352334 0.000020  I-0.1348766 0.0000041  1.0178 0.0036  I     0.080    0.054     0.136    0.052  0.023882  0.352327 -0.1348635     0.082     0.079  
14 2 6 56694.00 I  0.024286 0.000020  0.353764 0.000019  I-0.1357820 0.0000033  0.8208 0.0026  I     0.126    0.054     0.149    0.052  0.024326  0.353693 -0.1357882     0.164     0.084  
14 2 7 56695.00 I  0.024464 0.000019  0.355291 0.000017  I-0.1365522 0.0000032  0.7256 0.0024  I     0.198    0.045     0.137    0.064  0.024504  0.355291 -0.1365502     0.251     0.084  
14 2 8 56696.00 I  0.024437 0.000018  0.356738 0.000017  I-0.1372338 0.0000036  0.6320 0.0028  I     0.214    0.047     0.152    0.054  0.024453  0.356675 -0.1372079     0.247     0.106  
14 2 9 56697.00 I  0.024334 0.000036  0.358205 0.000020  I-0.1378238 0.0000047  0.5611 0.0029  I     0.195    0.044     0.166    0.070  0.024378  0.358195 -0.1378092     0.208     0.131  
14 210 56698.00 I  0.024169 0.000036  0.359846 0.000021  I-0.1383885 0.0000045  0.5878 0.0036  I     0.158    0.064     0.162    0.072  0.024167  0.359775 -0.1383968     0.164     0.146  
14 211 56699.00 I  0.023948 0.000043  0.361785 0.000024  I-0.1390070 0.0000054  0.6372 0.0033  I     0.137    0.051     0.135    0.062  0.024019  0.361757 -0.1390051     0.116     0.154  
14 212 56700.00 I  0.023510 0.000047  0.363728 0.000026  I-0.1396755 0.0000047  0.7243 0.0036  I     0.154    0.065     0.105    0.071  0.023525  0.363716 -0.1396693     0.183     0.104  
14 213 56701.00 I  0.022748 0.000047  0.365431 0.000029  I-0.1404751 0.0000048  0.8698 0.0034  I     0.198    0.065     0.089    0.071  0.022797  0.365376 -0.1404604     0.278     0.042  
14 214 56702.00 I  0.022066 0.000048  0.367083 0.000029  I-0.1414056 0.0000050  0.9867 0.0028  I     0.254    0.065     0.072    0.071  0.022064  0.367071 -0.1413986     0.367    -0.021  
14 215 56703.00 I  0.021443 0.000035  0.368679 0.000025  I-0.1424553 0.0000030  1.1240 0.0035  I     0.297    0.075     0.041    0.065  0.021480  0.368624 -0.1424512     0.353    -0.030  
14 216 56704.00 I  0.020988 0.000039  0.370424 0.000028  I-0.1436524 0.0000049  1.2576 0.0034  I     0.313    0.073     0.011    0.064  0.021005  0.370370 -0.1436581     0.296    -0.017  
14 217 56705.00 I  0.020422 0.000027  0.372123 0.000024  I-0.1449517 0.0000061  1.3346 0.0063  I     0.305    0.120     0.002    0.094  0.020488  0.372132 -0.1449610     0.235    -0.007  
14 218 56706.00 I  0.019824 0.000020  0.373492 0.000022  I-0.1463147 0.0000117  1.3907 0.0044  I     0.300    0.204     0.031    0.088  0.019812  0.373408 -0.1463208     0.161     0.008  
14 219 56707.00 I  0.019832 0.000021  0.374826 0.000021  I-0.1477123 0.0000064  1.3842 0.0066  I     0.289    0.074     0.028    0.058  0.019886  0.374810 -0.1477070     0.176    -0.032  
14 220 56708.00 I  0.020090 0.000021  0.376151 0.000019  I-0.1490644 0.0000063  1.3215 0.0045  I     0.283    0.074     0.008    0.058  0.020101  0.376100 -0.1490550     0.223    -0.064  
14 221 56709.00 I  0.020291 0.000021  0.377371 0.000019  I-0.1503501 0.0000063  1.2431 0.0040  I     0.289    0.074    -0.006    0.058  0.020333  0.377353 -0.1503430     0.268    -0.093  
14 222 56710.00 I  0.020494 0.000014  0.378583 0.000015  I-0.1515481 0.0000049  1.1573 0.0041  I     0.304    0.119     0.004    0.046  0.020503  0.378514 -0.1515427     0.296    -0.071  
14 223 56711.00 I  0.020627 0.000020  0.379961 0.000022  I-0.1526829 0.0000054  1.1260 0.0036  I     0.322    0.119     0.023    0.059  0.020667  0.379942 -0.1526833     0.310    -0.030  
14 224 56712.00 I  0.020375 0.000020  0.381414 0.000022  I-0.1538246 0.0000054  1.1681 0.0043  I     0.320    0.119     0.022    0.059  0.020406  0.381353 -0.1538325     0.310     0.006  
14 225 56713.00 I  0.019536 0.000017  0.382726 0.000021  I-0.1550424 0.0000067  1.2802 0.0039  I     0.307    0.119     0.013    0.066  0.019586  0.382709 -0.1550436     0.314     0.047  
14 226 56714.00 I  0.018780 0.000020  0.383603 0.000022  I-0.1563984 0.0000056  1.4323 0.0045  I     0.293    0.119     0.016    0.069  0.018776  0.383582 -0.1563845     0.294     0.040  
14 227 56715.00 I  0.018779 0.000019  0.384252 0.000022  I-0.1579360 0.0000059  1.6712 0.0042  I     0.278    0.119     0.028    0.069  0.018820  0.384179 -0.1579347     0.267     0.020  
14 228 56716.00 I  0.019251 0.000019  0.385282 0.000022  I-0.1597407 0.0000062  1.9099 0.0042  I     0.258    0.119     0.035    0.069  0.019274  0.385242 -0.1597391     0.239    -0.005  
14 3 1 56717.00 I  0.019809 0.000013  0.386577 0.000015  I-0.1617033 0.0000060  1.9910 0.0038  I     0.235    0.119     0.021    0.060  0.019841  0.386558 -0.1616963     0.246    -0.005  
14 3 2 56718.00 I  0.020200 0.000019  0.387917 0.000019  I-0.1636961 0.0000044  1.9921 0.0037  I     0.228    0.041     0.027    0.051  0.020229  0.387859 -0.1637004     0.264     0.002  
14 3 3 56719.00 I  0.020399 0.000019  0.389406 0.000018  I-0.1656665 0.0000044  1.9300 0.0032  I     0.231    0.041     0.033    0.051  0.020440  0.389343 -0.1656640     0.278     0.006  
14 3 4 56720.00 I  0.020451 0.000018  0.390867 0.000016  I-0.1675288 0.0000046  1.7858 0.0029  I     0.235    0.052     0.031    0.037  0.020479  0.390843 -0.1675271     0.283     0.009  
14 3 5 56721.00 I  0.020378 0.000020  0.392026 0.000017  I-0.1692262 0.0000038  1.6059 0.0027  I     0.239    0.068     0.024    0.043  0.020391  0.391998 -0.1692176     0.310    -0.003  
14 3 6 56722.00 I  0.020375 0.000021  0.393000 0.000018  I-0.1707455 0.0000029  1.4406 0.0024  I     0.237    0.068     0.007    0.043  0.020407  0.392940 -0.1707396     0.340    -0.020  
14 3 7 56723.00 I  0.020277 0.000020  0.394022 0.000018  I-0.1721160 0.0000029  1.3010 0.0026  I     0.243    0.068    -0.012    0.043  0.020307  0.393997 -0.1721130     0.371    -0.035  
14 3 8 56724.00 I  0.020101 0.000015  0.395123 0.000013  I-0.1733509 0.0000042  1.1718 0.0026  I     0.255    0.091    -0.015    0.052  0.020124  0.395068 -0.1733490     0.384    -0.054  
14 3 9 56725.00 I  0.019851 0.000014  0.396126 0.000014  I-0.1744753 0.0000043  1.0899 0.0029  I     0.261    0.091    -0.006    0.052  0.019881  0.396125 -0.1744791     0.387    -0.072  
14 310 56726.00 I  0.019509 0.000025  0.396995 0.000019  I-0.1755546 0.0000040  1.0796 0.0031  I     0.263    0.055    -0.009    0.066  0.019532  0.396915 -0.1755600     0.357    -0.083  
14 311 56727.00 I  0.019284 0.000023  0.398016 0.000017  I-0.1766309 0.0000045  1.0585 0.0030  I     0.272    0.119    -0.037    0.072  0.019307  0.397995 -0.1766225     0.335    -0.088  
14 312 56728.00 I  0.019460 0.000026  0.399140 0.000018  I-0.1776802 0.0000044  1.0631 0.0032  I     0.285    0.119    -0.053    0.077  0.019487  0.399097 -0.1776624     0.304    -0.094  
14 313 56729.00 I  0.020298 0.000026  0.400211 0.000018  I-0.1787854 0.0000045  1.1526 0.0032  I     0.283    0.119    -0.034    0.072  0.020326  0.400186 -0.1787710     0.300    -0.044  
14 314 56730.00 I  0.021427 0.000026  0.401283 0.000019  I-0.1799836 0.0000046  1.2367 0.0033  I     0.277    0.119     0.008    0.072  0.021470  0.401233 -0.1799750     0.297     0.017  
14 315 56731.00 I  0.022523 0.000027  0.402448 0.000024  I-0.1812429 0.0000047  1.2731 0.0036  I     0.266    0.119     0.024    0.072  0.022536  0.402424 -0.1812403     0.278     0.044  
14 316 56732.00 I  0.023595 0.000024  0.403737 0.000025  I-0.1825196 0.0000056  1.2790 0.0038  I     0.254    0.060     0.017    0.073  0.023611  0.403661 -0.1825144     0.251     0.053  
14 317 56733.00 I  0.024429 0.000025  0.404938 0.000030  I-0.1837926 0.0000059  1.2599 0.0051  I     0.239    0.060     0.010    0.073  0.024471  0.404936 -0.1837860     0.212     0.059  
14 318 56734.00 I  0.024871 0.000023  0.405619 0.000030  I-0.1850369 0.0000085  1.2331 0.0046  I     0.231    0.080     0.005    0.061  0.024892  0.405583 -0.1850368     0.191     0.054  
14 319 56735.00 I  0.025361 0.000027  0.406029 0.000030  I-0.1862594 0.0000071  1.2080 0.0054  I     0.241    0.118    -0.013    0.065  0.025396  0.405970 -0.1862549     0.290     0.233  
14 320 56736.00 I  0.026199 0.000027  0.406485 0.000029  I-0.1874480 0.0000067  1.1683 0.0050  I     0.251    0.111    -0.043    0.055  0.026182  0.406487 -0.1874422     0.417     0.440  
14 321 56737.00 I  0.027357 0.000027  0.407205 0.000025  I-0.1885903 0.0000070  1.1115 0.0051  I     0.278    0.111    -0.079    0.055  0.027434  0.407106 -0.1885777     0.533     0.619  
14 322 56738.00 I  0.028325 0.000020  0.408419 0.000022  I-0.1896872 0.0000078  1.1034 0.0042  I     0.308    0.184    -0.092    0.075  0.028319  0.408424 -0.1896834     0.552     0.541  
14 323 56739.00 I  0.029429 0.000022  0.409857 0.000017  I-0.1908261 0.0000047  1.1824 0.0045  I     0.339    0.066    -0.090    0.049  0.029456  0.409785 -0.1908270     0.520     0.351  
14 324 56740.00 I  0.030851 0.000022  0.411294 0.000017  I-0.1920522 0.0000045  1.2620 0.0034  I     0.359    0.066    -0.082    0.049  0.030870  0.411294 -0.1920415     0.431    -0.101  
14 325 56741.00 I  0.032249 0.000016  0.412720 0.000018  I-0.1933556 0.0000050  1.3583 0.0033  I     0.354    0.119    -0.070    0.045  0.032294  0.412629 -0.1933480     0.387    -0.120  
14 326 56742.00 I  0.033594 0.000020  0.414138 0.000022  I-0.1947946 0.0000049  1.5322 0.0035  I     0.331    0.119    -0.061    0.048  0.033618  0.414145 -0.1947922     0.357    -0.106  
14 327 56743.00 I  0.035053 0.000020  0.415211 0.000022  I-0.1964066 0.0000050  1.6660 0.0035  I     0.305    0.119    -0.056    0.048  0.035069  0.415154 -0.1963878     0.324    -0.072  
14 328 56744.00 I  0.036748 0.000019  0.416017 0.000022  I-0.1981067 0.0000049  1.7401 0.0039  I     0.281    0.119    -0.045    0.048  0.036794  0.415987 -0.1980989     0.286    -0.023  
14 329 56745.00 I  0.038504 0.000014  0.416925 0.000021  I-0.1998829 0.0000060  1.8026 0.0032  I     0.259    0.119    -0.015    0.051  0.038524  0.416876 -0.1998809     0.233     0.000  
14 330 56746.00 I  0.040396 0.000018  0.418092 0.000021  I-0.2016854 0.0000042  1.7856 0.0036  I     0.242    0.119     0.029    0.043  0.040416  0.418052 -0.2016754     0.182     0.021  
14 331 56747.00 I  0.042199 0.000031  0.419490 0.000022  I-0.2034205 0.0000039  1.6679 0.0026  I     0.238    0.119     0.059    0.047  0.042240  0.419457 -0.2034060     0.195     0.010  
14 4 1 56748.00 I  0.043601 0.000030  0.420995 0.000017  I-0.2050096 0.0000032  1.5155 0.0026  I     0.244    0.067     0.062    0.050  0.043607  0.420940 -0.2050077     0.188     0.026  
14 4 2 56749.00 I  0.044671 0.000031  0.422535 0.000021  I-0.2064678 0.0000033  1.4120 0.0024  I     0.259    0.058     0.045    0.072  0.044731  0.422505 -0.2064734     0.172     0.082  
14 4 3 56750.00 I  0.045471 0.000031  0.423892 0.000021  I-0.2078336 0.0000035  1.3086 0.0024  I     0.280    0.058     0.021    0.072  0.045490  0.423828 -0.2078192     0.204     0.092  
